Country,Country Code,2010,2011,2012,2013,2014
Lao PDR,LAO,3.149,3.059,2.974,2.895,2.823
Lebanon,LBN,1.614,1.641,1.671,1.696,1.713
Liberia,LBR,5.023,4.944,4.868,4.794,4.721
Libya,LBY,2.412,2.404,2.391,2.372,2.345
St. Lucia,LCA,1.538,1.522,1.507,1.495,1.482
Latin America & Caribbean,LCN,2.190586012,2.168278155,2.147248797,2.126647673,2.106393239
Least developed countries: UN classification,LDC,4.486033628,4.418358165,4.35321839,4.290744823,4.230570082
Low income,LIC,5.203554495,5.122985934,5.041940321,4.961119012,4.881777318
Liechtenstein,LIE,1.4,1.69,1.51,1.45,1.59
Sri Lanka,LKA,2.203,2.17,2.138,2.109,2.083
Lower middle income,LMC,2.984313971,2.94227843,2.904840354,2.870712585,2.839326403
Low & middle income,LMY,2.652011998,2.634288835,2.622116456,2.608319833,2.596922556
Lesotho,LSO,3.303,3.278,3.253,3.222,3.186
Late-demographic dividend,LTE,1.68559476,1.685273329,1.694243321,1.694795273,1.700879791
Lithuania,LTU,1.5,1.55,1.6,1.59,1.63
Luxembourg,LUX,1.63,1.52,1.57,1.55,1.5
Latvia,LVA,1.36,1.33,1.44,1.52,1.65
"Macao SAR, China",MAC,1.061,1.112,1.16,1.205,1.245
St. Martin (French part),MAF,1.82,1.82,1.82,1.81,1.81
Morocco,MAR,2.578,2.584,2.583,2.574,2.555
Monaco,MCO,,,,,
Moldova,MDA,1.274,1.273,1.269,1.263,1.256
Madagascar,MDG,4.603,4.52,4.442,4.37,4.303
Maldives,MDV,2.229,2.221,2.209,2.191,2.165
Middle East & North Africa,MEA,2.877878448,2.88121076,2.879421888,2.866773697,2.845046367
Mexico,MEX,2.341,2.318,2.295,2.27,2.243
Marshall Islands,MHL,,4.05,,,
Middle income,MIC,2.412815577,2.395894137,2.384894556,2.372000074,2.361629775
"Macedonia, FYR",MKD,1.465,1.474,1.487,1.501,1.513
Mali,MLI,6.547,6.474,6.396,6.315,6.231
Malta,MLT,1.36,1.45,1.43,1.38,1.42
Myanmar,MMR,2.41,2.363,2.322,2.286,2.256
Middle East & North Africa (excluding high income),MNA,2.896798043,2.910756505,2.916263888,2.910632116,2.892145242
Montenegro,MNE,1.767,1.745,1.725,1.706,1.69
Mongolia,MNG,2.637,2.716,2.774,2.805,2.811
Northern Mariana Islands,MNP,,,,,
Mozambique,MOZ,5.562,5.519,5.472,5.421,5.365
Mauritania,MRT,4.983,4.942,4.897,4.848,4.794
Mauritius,MUS,1.57,1.55,1.54,1.44,1.43
Malawi,MWI,5.308,5.146,4.992,4.856,4.74
Malaysia,MYS,2.149,2.129,2.11,2.092,2.074
North America,NAC,1.900166837,1.865697188,1.853542138,1.830120908,1.834117096
Namibia,NAM,3.605,3.6,3.586,3.56,3.522
New Caledonia,NCL,2.2,2.15,2.28,2.19,2.17
Niger,NER,7.487,7.455,7.42,7.381,7.338
Nigeria,NGA,5.839,5.802,5.758,5.709,5.653
Nicaragua,NIC,2.428,2.383,2.34,2.3,2.264
Netherlands,NLD,1.79,1.76,1.72,1.68,1.71
Norway,NOR,1.95,1.88,1.85,1.78,1.75
Nepal,NPL,2.606,2.486,2.38,2.291,2.218
Nauru,NRU,,,,,
New Zealand,NZL,2.17,2.09,2.1,2.01,1.92
OECD members,OED,1.789040571,1.768411865,1.767440977,1.742293723,1.747662584
Oman,OMN,2.901,2.896,2.878,2.846,2.799
Other small states,OSS,3.298441794,3.266012044,3.23765999,3.202076582,3.173512965
Pakistan,PAK,3.855,3.802,3.744,3.682,3.617
Panama,PAN,2.622,2.613,2.601,2.585,2.565
Peru,PER,2.545,2.525,2.504,2.481,2.456
Philippines,PHL,3.158,3.109,3.067,3.028,2.992
Palau,PLW,,,2.23,,
Papua New Guinea,PNG,3.985,3.926,3.869,3.813,3.759
Poland,POL,1.41,1.33,1.33,1.29,1.32
Pre-demographic dividend,PRE,5.608679291,5.541060562,5.470028414,5.397443508,5.323430368
Puerto Rico,PRI,1.6235,1.5965,1.5425,1.47,1.432
"Korea, Dem. People’s Rep.",PRK,1.979,1.968,1.957,1.945,1.933
Portugal,PRT,1.39,1.35,1.28,1.21,1.23
Paraguay,PRY,2.73,2.675,2.625,2.581,2.542
West Bank and Gaza,PSE,4.419,4.35,4.281,4.212,4.143
Pacific island small states,PSS,3.428559517,3.389659668,3.351961188,3.315101222,3.278766276
Post-demographic dividend,PST,1.661451203,1.644780821,1.652208085,1.624335323,1.634290611
French Polynesia,PYF,2.11,2.092,2.075,2.059,2.044
Qatar,QAT,2.07,2.027,1.997,1.972,1.95
Romania,ROU,1.59,1.47,1.52,1.46,1.52
Russian Federation,RUS,1.567,1.582,1.691,1.707,1.75
Rwanda,RWA,4.515,4.389,4.269,4.158,4.058
South Asia,SAS,2.744213453,2.679711615,2.621859854,2.571398436,2.527947428
Saudi Arabia,SAU,2.96,2.866,2.779,2.701,2.635
Sudan,SDN,4.876,4.825,4.771,4.715,4.656
Senegal,SEN,5.063,5.038,5.003,4.959,4.904
Singapore,SGP,1.15,1.2,1.29,1.19,1.25
Solomon Islands,SLB,4.235,4.167,4.099,4.032,3.968
Sierra Leone,SLE,5.202,5.06,4.923,4.793,4.672
El Salvador,SLV,2.265,2.224,2.187,2.155,2.126
San Marino,SMR,,,1.26,,
Somalia,SOM,6.866,6.766,6.665,6.564,6.464
Serbia,SRB,1.4,1.4,1.45,1.43,1.46
Sub-Saharan Africa (excluding high income),SSA,5.249069231,5.187064304,5.122391897,5.055858594,4.988029705
South Sudan,SSD,5.376,5.286,5.197,5.109,5.022
Sub-Saharan Africa,SSF,5.248709299,5.186754685,5.122100174,5.055572672,4.987753386
Small states,SST,3.066842609,3.039039512,3.014447594,2.984760642,2.960592217
Sao Tome and Principe,STP,4.788,4.74,4.689,4.635,4.578
Suriname,SUR,2.52,2.495,2.47,2.445,2.421
Slovak Republic,SVK,1.43,1.45,1.34,1.34,1.37
Slovenia,SVN,1.57,1.56,1.58,1.55,1.58
Sweden,SWE,1.98,1.9,1.91,1.89,1.88
Swaziland,SWZ,3.527,3.44,3.355,3.276,3.204
Sint Maarten (Dutch part),SXM,,2.03,,,
Seychelles,SYC,2.17,2.38,2.42,2.37,2.34
Syrian Arab Republic,SYR,3.21,3.16,3.113,3.065,3.016
Turks and Caicos Islands,TCA,,,,,
Chad,TCD,6.592,6.482,6.372,6.263,6.155
East Asia & Pacific (IDA & IBRD countries),TEA,1.842209991,1.842305401,1.84305126,1.84369246,1.844851255
Europe & Central Asia (IDA & IBRD countries),TEC,1.811747895,1.801764359,1.851164662,1.859458147,1.891825433
Togo,TGO,4.868,4.798,4.727,4.656,4.586
Thailand,THA,1.547,1.542,1.534,1.524,1.512
Tajikistan,TJK,3.507,3.504,3.492,3.472,3.442
Turkmenistan,TKM,2.833,2.892,2.936,2.958,2.956
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.205032441,2.181584393,2.159612209,2.138324455,2.117310184
Timor-Leste,TLS,6.234,6.109,5.983,5.859,5.737
Middle East & North Africa (IDA & IBRD countries),TMN,2.881390454,2.895863982,2.901804226,2.896508837,2.878254291
Tonga,TON,3.913,3.864,3.815,3.768,3.722
South Asia (IDA & IBRD),TSA,2.744213453,2.679711615,2.621859854,2.571398436,2.527947428
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.248709299,5.186754685,5.122100174,5.055572672,4.987753386
Trinidad and Tobago,TTO,1.806,1.804,1.798,1.789,1.778
Tunisia,TUN,2.144,2.184,2.214,2.231,2.234
Turkey,TUR,2.155,2.139,2.124,2.108,2.09
Tuvalu,TUV,,,,,
Tanzania,TZA,5.427,5.359,5.287,5.215,5.146
Uganda,UGA,6.154,6.059,5.964,5.869,5.775
Ukraine,UKR,1.443,1.459,1.531,1.506,1.498
Upper middle income,UMC,1.816209001,1.816828538,1.824841829,1.825423736,1.82859295
Uruguay,URY,2.078,2.063,2.048,2.033,2.019
United States,USA,1.931,1.8945,1.8805,1.8575,1.8625
Uzbekistan,UZB,2.342,2.236,2.193,2.35,2.457
St. Vincent and the Grenadines,VCT,2.07,2.046,2.021,1.998,1.975
"Venezuela, RB",VEN,2.472,2.444,2.417,2.391,2.366
British Virgin Islands,VGB,,,,,
Virgin Islands (U.S.),VIR,2.3,2.16,2.05,2.07,2.09
Vietnam,VNM,1.946,1.953,1.957,1.959,1.96
Vanuatu,VUT,3.498,3.456,3.419,3.383,3.348
World,WLD,2.508023317,2.491963331,2.48374626,2.468328319,2.461478529
Samoa,WSM,4.338,4.277,4.212,4.148,4.086
Kosovo,XKX,2.29,2.24,2.19,2.16,2.13
"Yemen, Rep.",YEM,4.674,4.554,4.44,4.327,4.215
South Africa,ZAF,2.588,2.572,2.554,2.533,2.51
Zambia,ZMB,5.397,5.318,5.242,5.171,5.104
Zimbabwe,ZWE,4.028,4.019,3.996,3.957,3.903
,,1.448960356,1.4229387,1.394111412,1.374750807,1.342479793
